TestTime,Result,Cooked,PeakdB,CookedVPtime,RefVPTime,CookedTime/RefTime*100%,VPList,CookedTime,RefTime,Cooked/RefTime*100%,VRRestult,CookVLen,RefVLen
2018-05-23-18-00-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_00_00\capaec0.pcm,-32,654,12036,5.433698903,[(97529 150 -48) (132696 0 -48) (236697 2 -49) (259288 30 -46) (325985 7 -48) (452793 29 -48) (500706 1 -48) (511120 0 -48) (596432 0 -49) (649025 28 -47) (713806 33 -41) (796112 93 -38) (1109974 10 -48) (1259338 0 -49) (1281183 0 -49) (1367123 0 -49) (1378165 72 -42) (1399400 0 -49) (1669142 28 -46) (1905482 14 -45) (2032052 26 -34) (2129349 131 -32)],29605,8576,345.207556,Recognition Failed! ,0,52
2018-05-23-18-01-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_01_00\capaec1.pcm,-26,1993,12036,16.55865736,[(20765 250 -46) (42732 81 -37) (96073 8 -45) (173193 334 -26) (199817 300 -42) (283056 149 -31) (453390 14 -48) (495928 187 -45) (713339 12 -48) (796442 82 -39) (817483 53 -45) (1024697 4 -49) (1110257 142 -44) (1258886 15 -46) (1378111 91 -43) (1662360 79 -42) (1796685 156 -45) (2031681 36 -34)],21637,8576,252.2971082,Recognition Failed! ,0,52
2018-05-23-18-02-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_02_00\capaec2.pcm,-33,465,12036,3.863409771,[(64972 0 -49) (452777 23 -46) (488555 1 -48) (552001 14 -44) (649242 30 -45) (711368 79 -33) (795955 127 -34) (1117136 0 -49) (1258352 13 -49) (1294297 5 -49) (1379319 49 -44) (1796138 5 -45) (2032083 17 -45) (2107880 40 -46) (2139418 62 -45)],31591,8576,368.3652052,Recognition Failed! ,0,52
2018-05-23-18-03-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_03_00\capaec3.pcm,-35,1077,12036,8.948155533,[(269 546 -39) (190074 0 -49) (308902 11 -46) (329769 50 -48) (453675 14 -47) (488898 5 -47) (621187 15 -49) (649666 2 -48) (712757 50 -37) (796139 134 -35) (864906 0 -49) (1024357 218 -45) (1135491 28 -47) (1259604 0 -48) (1381687 0 -49) (1780748 4 -49) (1796744 0 -49) (2033111 0 -49)],33890,8576,395.1725746,Recognition Failed! ,0,52
2018-05-23-18-04-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_04_00\capaec4.pcm,-36,605,12036,5.026586906,[(453975 8 -48) (493616 4 -49) (714307 35 -38) (727054 3 -48) (797098 112 -36) (1024881 21 -45) (1258856 64 -42) (1308741 12 -48) (1367366 18 -40) (1378825 74 -42) (1670439 143 -44) (1905791 0 -49) (1917148 57 -47) (2033236 18 -43) (2118902 0 -49) (2134627 36 -49)],33924,8576,395.5690299,Recognition Failed! ,0,52
2018-05-23-18-05-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_05_00\capaec5.pcm,-36,630,12036,5.234297109,[(453790 21 -47) (489599 0 -49) (554891 0 -49) (713083 55 -36) (796278 154 -37) (865794 1 -49) (1035115 2 -49) (1111505 7 -47) (1130087 102 -38) (1260073 0 -49) (1273232 31 -45) (1308252 12 -47) (1366807 19 -48) (1378837 69 -43) (1797694 104 -42) (1905769 19 -47) (2032496 34 -37) (2096889 0 -49)],34067,8576,397.2364739,Recognition Failed! ,0,52
2018-05-23-18-06-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_06_00\capaec6.pcm,-34,1942,12036,16.13492855,[(9612 788 -42) (68987 257 -41) (105180 43 -46) (120220 0 -49) (271345 76 -47) (288721 6 -49) (323132 40 -45) (454491 14 -48) (489939 458 -34) (595641 27 -46) (651737 0 -49) (661994 8 -48) (673398 13 -45) (714870 34 -40) (797250 106 -38) (961861 37 -46) (1295799 1 -48) (1797785 0 -49) (1907039 0 -49) (2033030 29 -34) (2055483 5 -49)],32169,8576,375.104944,Recognition Failed! ,0,52
2018-05-23-18-07-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_07_00\capaec7.pcm,-34,3494,12036,29.02957793,[(46509 110 -45) (66478 381 -42) (113535 7 -47) (168221 26 -45) (217774 0 -49) (295699 388 -43) (345394 165 -40) (455269 38 -46) (490339 12 -49) (596540 12 -47) (661405 22 -49) (714262 46 -46) (797969 117 -35) (819118 28 -45) (840233 12 -49) (963085 315 -45) (1108275 514 -37) (1259840 97 -48) (1296698 0 -48) (1309611 7 -49) (1379952 71 -43) (1396176 51 -46) (1648747 13 -46) (1671842 118 -48) (1782279 13 -46) (1877333 14 -49) (2033634 35 -34) (2074419 0 -49) (2115909 882 -43)],32772,8576,382.136194,Recognition Failed! ,0,52
2018-05-23-18-08-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_08_00\capaec8.pcm,-30,2230,12036,18.52775008,[(76558 874 -32) (149027 119 -47) (200216 27 -48) (214630 159 -45) (236964 47 -44) (252096 262 -38) (299583 229 -30) (339070 65 -37) (455392 0 -49) (490152 32 -47) (506272 0 -49) (659140 16 -48) (713748 61 -32) (796740 137 -34) (969227 16 -49) (1025390 18 -46) (1260270 9 -47) (1295827 12 -45) (1380976 40 -44) (1529231 39 -47) (1649665 18 -48) (1797817 27 -49) (1877740 1 -48) (2090912 0 -48) (2152540 22 -45)],28702,8576,334.6781716,Recognition Failed! ,0,52
2018-05-23-18-09-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_23_18_09_00\capaec9.pcm,-21,2300,12036,19.10933865,[(10159 316 -21) (282255 19 -48) (454928 6 -49) (488202 45 -47) (555569 8 -44) (570432 0 -48) (714017 45 -45) (797729 47 -40) (866489 11 -47) (1265173 338 -44) (1296305 1 -49) (1380052 60 -45) (1532105 172 -38) (1604265 0 -49) (1651371 668 -39) (1756438 0 -49) (2034362 5 -47) (2066386 79 -39) (2085321 449 -37) (2117352 31 -49)],10970,8576,127.9151119,Recognition Failed! ,0,52
