TestTime,Result,Cooked,PeakdB,CookedVPtime,RefVPTime,CookedTime/RefTime*100%,VPList,CookedTime,RefTime,Cooked/RefTime*100%,VRRestult,CookVLen,RefVLen
2018-05-12-17-00-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_00_00\capaec0.pcm,-6,12431,12036,103.281821203,[(450450 541 -6) (596737 599 -7) (683399 565 -6) (805732 206 -10) (918917 428 -6) (1056635 433 -8) (1155620 268 -11) (1230299 50 -47) (1243791 472 -6) (1341409 40 -47) (1432026 2286 -6) (1571425 2218 -6) (1716377 1882 -7) (1828566 2424 -6) (2089292 0 -49) (2110987 19 -47)],10176,8576,118.656716418,行行行有行能有听还慢慢的流进了你要把我当成一种爱好的是自己的纪录片的价值比用一根,40,52
2018-05-12-17-01-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_01_00\capaec1.pcm,-6,12551,12036,104.278830176,[(435243 634 -7) (577381 618 -7) (668289 559 -9) (754361 23 -47) (775790 465 -6) (902913 522 -9) (939127 12 -49) (980768 50 -42) (1038495 257 -10) (1137025 269 -20) (1222226 456 -6) (1417700 2146 -6) (1552737 2203 -6) (1697015 1869 -6) (1810175 2447 -6) (2116095 21 -45)],10430,8576,121.618470149,营行赢行如晕行啊那我的心里那么好不能成一种爱好一群帜自我挑战纪录片的价值被严重低估,41,52
2018-05-12-17-02-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_02_00\capaec2.pcm,-6,12213,12036,101.470588235,[(433740 561 -7) (552492 11 -47) (576469 469 -7) (667430 600 -10) (780711 359 -6) (902102 408 -9) (982704 6 -45) (1037367 297 -11) (1135979 279 -16) (1221808 435 -6) (1335487 13 -44) (1412692 2258 -6) (1552151 2188 -6) (1696714 1887 -6) (1809211 2442 -6)],10333,8576,120.487406716,赢行赢行如用行啊那我的心你要么好不长城一种爱自己一直是我讲的纪录片的价值被严重低估,41,52
2018-05-12-17-03-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_03_00\capaec3.pcm,-6,12519,12036,104.012961117,[(101347 5 -49) (398745 28 -48) (434350 550 -7) (549852 76 -43) (576726 469 -7) (667545 604 -9) (775953 453 -6) (901154 402 -10) (938533 3 -48) (1038329 247 -10) (1136377 274 -14) (1220029 642 -6) (1335413 24 -46) (1412769 2265 -6) (1552274 2189 -6) (1696320 1883 -6) (1809381 2399 -6) (2063566 6 -48)],10242,8576,119.42630597,赢行有行晕如你行啊那我的心你要么好不长城一种爱好继续幼稚自我挑战纪录片的价值被严重低估,43,52
2018-05-12-17-04-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_04_00\capaec4.pcm,-6,12027,12036,99.925224327,[(16357 6 -47) (435447 551 -7) (577428 493 -7) (668250 575 -9) (781645 341 -6) (903534 318 -12) (1038776 232 -12) (1136281 288 -20) (1218107 542 -6) (1417356 2182 -6) (1552906 2188 -6) (1697461 1875 -6) (1810121 2436 -6) (2059558 0 -48)],10337,8576,120.534048507,云行赢行如人行啊什么的了我的心那么好不长城一种爱好一局制自我挑战纪录片的价值被严重低估,43,52
2018-05-12-17-05-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_05_00\capaec5.pcm,-5,12466,12036,103.572615487,[(445160 606 -6) (528628 44 -43) (591039 596 -7) (662289 0 -49) (685361 431 -6) (795166 324 -15) (914098 441 -6) (1052655 357 -15) (1150719 322 -15) (1236375 467 -7) (1427138 2297 -7) (1566298 2214 -5) (1710431 1908 -6) (1823300 2459 -6)],10081,8576,117.548973881,行云行与行永群行网管们流进了我跟你要把跑步当成一种爱好我要进行的是自我价记录员的价值被用于你,46,52
2018-05-12-17-06-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_06_00\capaec6.pcm,-6,12433,12036,103.298438019,[(435391 528 -7) (549882 78 -41) (577375 642 -7) (667973 600 -9) (781613 347 -6) (903501 582 -9) (983456 0 -49) (1039107 243 -11) (1069906 9 -46) (1138513 244 -19) (1222367 452 -6) (1382191 3 -47) (1414892 2215 -7) (1552875 2166 -6) (1697176 1876 -6) (1810243 2448 -6)],10424,8576,121.548507463,赢行赢行晕用行网上看的我的心里那么好不能成一种爱好气局自我挑战纪录片的价值被沿经一路,42,52
2018-05-12-17-07-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_07_00\capaec7.pcm,-6,12300,12036,102.193419741,[(434070 572 -7) (549424 82 -41) (576916 568 -7) (667660 523 -9) (781238 344 -6) (902655 373 -9) (982945 0 -49) (1038594 252 -10) (1083766 42 -46) (1136718 272 -20) (1221945 595 -6) (1417405 2141 -6) (1552635 2171 -6) (1696727 1894 -6) (1809938 2468 -6) (2051281 3 -49)],10305,8576,120.160914179,赢行用行如晕行网了我的心那么好不长城一种爱好自己一直是我讲的纪录片的价值被沿经一路,41,52
2018-05-12-17-08-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_08_00\capaec8.pcm,-6,12518,12036,104.004652709,[(433278 587 -7) (552291 14 -48) (576823 621 -7) (667575 576 -9) (775743 447 -6) (901089 424 -10) (1038567 281 -9) (1072756 16 -49) (1140347 189 -22) (1215727 563 -6) (1412990 2242 -6) (1552523 2200 -6) (1697066 1884 -6) (1809727 2474 -6)],10374,8576,120.965485075,云行有行如用行往流进我的心里那么好不能成一种爱好自己一直是我调的纪录片的价值被严重低估,43,52
2018-05-12-17-09-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_09_00\capaec9.pcm,-6,12384,12036,102.891326022,[(435383 566 -6) (549616 33 -41) (576948 754 -7) (667893 571 -10) (781272 339 -6) (901807 446 -10) (982554 7 -47) (1038607 283 -11) (1140858 187 -19) (1222088 444 -6) (1336184 0 -49) (1414033 2241 -6) (1552656 2163 -6) (1696544 1895 -6) (1809589 2455 -6)],10395,8576,121.210354478,云行晕行如你行放个球呢我的心里让跑步当成一种爱好自己一直自我挑战纪录片的价值被严重低估,43,52
