TestTime,Result,Cooked,PeakdB,CookedVPtime,RefVPTime,CookedTime/RefTime*100%,VPList,CookedTime,RefTime,Cooked/RefTime*100%,VRRestult,CookVLen,RefVLen,,,
2018-05-18-17-58-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_17_58_00\capaec0.pcm,-5,10263,12036,85.26919242,[(408516 24 -36) (477280 391 -18) (617546 344 -10) (708699 309 -7) (818261 398 -5) (868835 32 -45) (940984 181 -13) (1074114 33 -46) (1178494 160 -22) (1259344 507 -6) (1454362 846 -6) (1513359 858 -8) (1590013 2102 -6) (1733047 848 -6) (1783452 813 -7) (1845390 2417 -6)],7828,8576,91.27798507,你能营行从好行往我的心里一一种爱我晓得王局更严重呢,25,52,,,
2018-05-18-18-40-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_40_00\capaec0.pcm,-5,17899,12036,148.7121967,[(334560 500 -27) (382199 517 -24) (433931 500 -11) (481397 518 -7) (576968 540 -19) (624617 550 -12) (671069 420 -17) (718306 435 -17) (781010 250 -7) (828666 263 -6) (901452 311 -13) (949296 368 -12) (1036822 220 -32) (1084546 220 -32) (1140510 141 -22) (1188265 148 -21) (1222164 379 -12) (1269903 388 -9) (1413182 6048 -6) (1723193 5183 -5)],9210,8576,107.3927239,行你你有你行那还是用我的网嗯嗯给几个儿子我早了你图中的价值自然不一,33,52,,,
2018-05-18-18-41-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_41_00\capaec1.pcm,-5,16554,12036,137.5373878,[(432962 392 -11) (480645 399 -10) (570734 392 -10) (618561 410 -11) (661442 290 -15) (709124 351 -12) (774242 330 -11) (822049 342 -6) (894722 280 -18) (941933 378 -14) (1034412 119 -21) (1081657 141 -18) (1133280 150 -15) (1181051 160 -13) (1215842 390 -9) (1263267 411 -7) (1407847 11619 -5)],8737,8576,101.8773321,阳阳行行你行如你老行啊哲娜的心嗯嗯唉要激情点我就和朋友的嗯嗯嗯,31,52,,,
2018-05-18-18-42-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_42_00\capaec2.pcm,-5,17050,12036,141.6583583,[(426720 491 -11) (473386 523 -11) (568841 410 -12) (616663 412 -11) (660026 391 -14) (707914 401 -11) (773289 351 -8) (821023 359 -6) (892881 240 -17) (940438 257 -16) (1032974 141 -13) (1080900 147 -14) (1129003 221 -12) (1176906 227 -15) (1214400 422 -8) (1262212 429 -8) (1404960 11628 -5)],8905,8576,103.8362873,您杨滢滢滢行有行形啊可能有了我的心那么好你爱比我小的你自己的名字你,33,52,,,
2018-05-18-18-43-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_43_00\capaec3.pcm,-6,16669,12036,138.4928548,[(432960 390 -11) (480711 397 -11) (570259 390 -12) (617612 420 -11) (661442 340 -16) (709259 362 -14) (774724 330 -7) (822367 334 -6) (897120 320 -14) (942795 377 -14) (1034401 131 -20) (1082228 147 -18) (1132865 170 -19) (1180872 170 -15) (1215376 401 -10) (1263139 412 -7) (1408379 11578 -6)],8848,8576,103.1716418,有行你有晕你你好行咋给你啊你我的嗯恩爱的结局都很惨那就,27,52,,,
2018-05-18-18-44-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_44_00\capaec4.pcm,-6,16628,12036,138.15221,[(433920 391 -12) (481591 402 -10) (571681 402 -12) (619658 403 -11) (662881 352 -13) (710709 357 -13) (775701 332 -9) (823260 339 -7) (898560 310 -30) (942863 442 -13) (1037280 80 -26) (1082819 148 -19) (1134240 150 -24) (1181834 166 -15) (1217281 380 -9) (1264351 409 -7) (1409761 11565 -6)],9193,8576,107.1944963,恩阳又有一瓶如你哪行啊有我就行嗯i让自己的老婆想你嗯嗯嗯,28,52,,,
2018-05-18-18-45-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_45_00\capaec5.pcm,-5,18182,12036,151.0634762,[(425768 520 -10) (473886 519 -10) (569322 420 -12) (617363 419 -10) (660960 381 -14) (708678 391 -14) (773828 349 -6) (821715 355 -7) (894242 351 -14) (941619 375 -14) (1033947 141 -15) (1081622 154 -14) (1129555 209 -19) (1178033 187 -14) (1214944 411 -7) (1262700 423 -8) (1405499 11630 -5) (2054913 319 -32) (2095718 516 -32) (2142404 112 -42)],9340,8576,108.9085821,有行行行会给你啊行不了我的心要藏好不能成一种爱基于我的嗯一会联系你,33,52,,,
2018-05-18-18-46-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_46_00\capaec6.pcm,-6,16546,12036,137.4709206,[(434400 220 -33) (473946 513 -11) (570240 380 -13) (617495 404 -11) (660979 359 -15) (708403 390 -13) (773763 320 -7) (821208 347 -6) (892813 250 -15) (940590 278 -14) (1033920 121 -16) (1081496 131 -15) (1132800 140 -15) (1177072 217 -10) (1214884 411 -10) (1262228 429 -9) (1404483 11636 -6)],9002,8576,104.9673507,永行你有晕你行嗯嗯啊刚刚给我的嗯恩爱要激情点我就得嗯嗯嗯,28,52,,,
2018-05-18-18-47-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_47_00\capaec7.pcm,-5,17741,12036,147.3994683,[(269768 31 -46) (317573 37 -41) (426311 509 -12) (474166 514 -11) (569302 411 -10) (616785 435 -11) (660591 370 -12) (708631 374 -12) (773777 350 -7) (821675 351 -6) (892802 382 -16) (940773 386 -18) (1033926 120 -13) (1081128 151 -13) (1135676 60 -21) (1177073 210 -15) (1214881 400 -9) (1262161 434 -7) (1406408 11569 -5) (2075092 320 -28) (2122804 327 -29)],9090,8576,105.9934701,恩宁行营有如行啊就那我就先让你赢爱聊天行不我讲的嗯,25,52,,,
2018-05-18-18-48-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_48_00\capaec8.pcm,-6,16614,12036,138.0358923,[(433920 380 -12) (481671 392 -11) (571686 380 -13) (619436 392 -9) (662880 330 -14) (710523 344 -13) (776160 311 -8) (823601 325 -7) (895688 360 -14) (943285 375 -14) (1035368 120 -20) (1083179 128 -17) (1135200 131 -17) (1182852 145 -18) (1216337 401 -11) (1264315 405 -7) (1411202 11553 -6) (2123520 120 -39) (2152582 22 -49)],9186,8576,107.1128731,有有你有如你行打给你啊你我的心嗯嗯i好之前我要的裙子是我讲了右边的价值不言自明的,40,52,,,
