TestTime,Result,Cooked,PeakdB,CookedVPtime,RefVPTime,CookedTime/RefTime*100%,VPList,CookedTime,RefTime,CookedTime/RefTime*100%,MaxVPTime,MaxVPTimedB,MiniVPTime,MiniVPTimedB,MaxVPdB,MaxVPdBTime,MiniVPdB,MiniVPdBTime,AVGVPTime,AVGVPdB,VPCount,VRRestult,CookVLen,RefVLen,Scorce,average
2018-04-26-10-33-21,F,D:\AEC_sop\CapAudio_all\Cap_Audio_file1\2018_01_23_20_04_00\capaec8.pcm,-3,44968,28419,158.23216862,[(965 44968L -3)],31308,22155,141.313473257,44968,-3,44968,-3,-3,44968,-3,44968,44968,-3,1,行行行行行行行行这些话慢慢的流进了我的心里要把跑步当成一种爱好主要进行的是自我挑战纪录片的价值被严重低估,52,52,-0.58 -0.58 0.0 -0.00 -0.0 0.00,-1.0875
2018-04-26-10-33-37,P,D:\AEC_sop\CapAudio_all\Cap_Audio_file_123\2018_01_22_17_41_10\capaec0.pcm,-84,0,28419,0.0,[(0 0 -1000)],0,22155,0.0,,,,,,,,,,,,Recognition Failed! ,0,52,,5.0
2018-04-26-10-43-16,F,D:\AEC_sop\CapAudio_all\Cap_Audio_file1\2018_01_23_20_04_00\capaec8.pcm,-3,44968,28419,158.23216862,[(965 44968L -3)],31308,22155,141.313473257,44968,-3,44968,-3,-3,44968,-3,44968,44968,-3,1,行行行行行行行行这些话慢慢的流进了我的心里要把跑步当成一种爱好主要进行的是自我挑战纪录片的价值被严重低估,52,52,-0.58 -0.58 0.0 -0.00 -0.0 0.00,-1.0875
2018-04-26-10-43-49,F,D:\AEC_sop\CapAudio_all\Cap_Audio_file1\2018_01_23_20_04_00\capaec8.pcm,-3,44968,28419,158.23216862,[(965 44968L -3)],31308,22155,141.313473257,44968,-3,44968,-3,-3,44968,-3,44968,44968,-3,1,行行行行行行行行这些话慢慢的流进了我的心里要把跑步当成一种爱好了进行的是自我挑战纪录片的价值被严重低估,51,52,-0.58 -0.58 0.0 -0.00 -0.0 0.02,-1.0541666666666667
2018-04-26-10-58-51,F,D:\AEC_sop\CapAudio_all\Cap_Audio_file1\2018_01_23_20_04_00\capaec8.pcm,-3,44968,28419,158.23216862,[(965 44968L -3)],31308,22155,141.313473257,44968,-3,44968,-3,-3,44968,-3,44968,44968,-3,1,行行行行行行行行这些话慢慢的流进了我的心里要把跑步当成一种爱好了进行的是自我挑战纪录片的价值被严重低估,51,52,-0.58 -0.58 0.0 -0.00 -0.0 0.02,-1.0541666666666667
2018-04-26-11-00-34,F,D:\AEC_sop\CapAudio_all\Cap_Audio_file1\2018_01_23_20_04_00\capaec8.pcm,-3,44968,28419,158.23216862,[(965 44968L -3)],31308,22155,141.313473257,44968,-3,44968,-3,-3,44968,-3,44968,44968,-3,1,行行行行行行行行这些话慢慢的流进了我的心里要把跑步当成一种爱好了进行的是自我挑战纪录片的价值被严重低估,51,52,-0.58 -0.58 0.0 -0.00 -0.0 0.02,-1.0541666666666667
2018-04-26-11-01-17,F,D:\AEC_sop\CapAudio_all\Cap_Audio_file1\2018_01_23_20_04_00\capaec8.pcm,-3,44968,28419,158.23216862,[(965 44968L -3)],31308,22155,141.313473257,44968,-3,44968,-3,-3,44968,-3,44968,44968,-3,1,行行行行行行行行这些话慢慢的流进了我的心里要把跑步当成一种爱好主要进行的是自我挑战纪录片的价值被严重低估,52,52,-0.58 -0.58 0.0 -0.00 -0.0 0.00,-1.0875
2018-04-26-11-02-35,F,D:\AEC_sop\CapAudio_all\Cap_Audio_file1\2018_01_23_20_04_00\capaec8.pcm,-3,44968,28419,158.23216862,[(965 44968L -3)],31308,22155,141.313473257,44968,-3,44968,-3,-3,44968,-3,44968,44968,-3,1,行行行行行行行行这些话慢慢的流进了我的心里要把跑步当成一种爱好了进行的是自我挑战纪录片的价值被严重低估,51,52,-0.58 -0.58 0.0 -0.00 -0.0 0.02,-1.0541666666666667
2018-04-26-11-12-57,F,D:\AEC_sop\CapAudio_all\Cap_Audio_file1\2018_01_23_20_04_00\capaec8.pcm,-3,44968,28419,158.23216862,[(965 44968L -3)],31308,22155,141.313473257,44968,-3,44968,-3,-3,44968,-3,44968,44968,-3,1,行行行行行行行行这些话慢慢的流进了我的心里要把跑步当成一种爱好了进行的是自我挑战纪录片的价值被严重低估,51,52,-0.58 -0.58 0.0 -0.00 -0.0 0.02,-1.0541666666666667
2018-04-26-11-15-41,F,D:\AEC_sop\CapAudio_all\Cap_Audio_file1\2018_01_23_20_04_00\capaec8.pcm,-3,44968,28419,158.23216862,[(965 44968L -3)],31308,22155,141.313473257,44968,-3,44968,-3,-3,44968,-3,44968,44968,-3,1,行行行行行行行行这些话慢慢的流进了我的心里要把跑步当成一种爱好了进行的是自我挑战纪录片的价值被严重低估,51,52,-0.58 -0.58 0.0 -0.00 -0.0 0.02,-1.0541666666666667
